image,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
./Car-Damage-Severity-Detection/CarDD-3/train/images/000003_jpg.rf.c6f37b12484229684ef845a0ac5e3a04.jpg,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000005_jpg.rf.4b9bc1829c953798c0d9bf1467072558.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000006_jpg.rf.c47758828d48efcbf43b0b17536a6cb9.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000009_jpg.rf.525b58fac4d299eedf5cc12d2df99131.jpg,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000010_jpg.rf.7c168cfd60f13ded2a9d6c1351914cd9.jpg,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000011_jpg.rf.c0b365bf7989370d65add1b5cbf57254.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000013_jpg.rf.2bd770b065c1f3a41b4395c73155c6d1.jpg,1,1,1,1,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000016_jpg.rf.f95804e7090459e98a7890b6e888a70d.jpg,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000018_jpg.rf.78282f358465b19d4542c72105b32f1e.jpg,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000020_jpg.rf.6688afd046bdb2ce46b328f335d842c1.jpg,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000023_jpg.rf.533ace80209f444b628c90fd5ff6a207.jpg,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000027_jpg.rf.c51d0daa4a4cea07420f8eceb1cd120e.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000028_jpg.rf.044d2d63979612bb59ff4c4f05c80cb9.jpg,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000029_jpg.rf.b4db838b9cadf9bf8c369aadbd60641d.jpg,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000034_jpg.rf.cab674062945502653c9e40067f139bf.jpg,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000042_jpg.rf.1bcf0a1ec9b75586da03bd5df55e42e4.jpg,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,5,0,0,1,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000043_jpg.rf.213046e4d7f7c33042b821b887866ec1.jpg,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000045_jpg.rf.16a00c64b1cda398efa0957ea5a45476.jpg,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,2,1,1,0,1,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000049_jpg.rf.dcf6923ecdeeea6f11a846fb6f1e5dd3.jpg,1,1,1,0,1,0,0,0,1,0,0,1,1,2,0,1,0,0,0,3,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000051_jpg.rf.5c51500a69f36a5965abcb985234242f.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000052_jpg.rf.0179586c7f2004b9538e03ef276a6826.jpg,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
./Car-Damage-Severity-Detection/CarDD-3/train/images/000054_jpg.rf.bfef0f4a9637655a63cd096f6f9e10b0.jpg,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0
